title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
UGAMA convoca a los ganaderos regionales,Redacci&oacute;n,2023-06-28 15:14:00,full,http://www.gentedigital.es/portada/noticia/3659426/ugama-convoca-a-los-ganaderos-regionales,gentedigital.es,"Se reunirán este jueves en el Pósito Municipal de Colmenar Viejo para estudiar la adhesión a la Organización Agraria Madrileña. De fondo, el problema de la tuberculosis bovina. Problemas para los…","Se reunirán este jueves en el Pósito Municipal de Colmenar Viejo para estudiar la adhesión a la Organización Agraria Madrileña. De fondo, el problema de la tuberculosis bovina.
 
 
 
 
Problemas para los ganaderos locales
 
 
El sindicato denuncia los altos índices de prevalencia de la tuberculosis
 
Redacción
28/6/2023 - 18:14
 
Semanas atrás, parte de la actualidad informativa miraba hacia Castilla y León después de que el Ministerio de Agricultura, Pesca y Alimentación limitara el movimiento del ganado bovino en dicha región ""para evitar poner en riesgo el nivel sanitario de la cabaña ganadera española y comunitaria"", atendiendo especialmente a los riesgos de transmisión de la tuberculosis bovina.",gentedigital.es,86289.0,news,ES,es,"Redacci&oacute;n,Tres Tristes Tigres",http://www.gentedigital.es/favicon.ico,False,,31.195797,49b9ff15a269f8d1fe21e014ae185cd5
"El PSOE, en las Cortes: «Los ganaderos están hartos»",AGENCIAS,2023-06-28 10:53:53,full,https://www.lagacetadesalamanca.es/campo/psoe-cortes-ganaderos-hartos-20230628125327-nt.html,lagacetadesalamanca.es,El procurador socialista Juan Luis Cepa ha hablado sobre el hartazgo de los ganaderos por las «promesas irreales» de las medidas para hacer frente a la tuberculosis,"Miércoles, 28 de junio 2023, 12:53









 


 
 










Los grupos que conforman las Cortes de Castilla y León han coincidido en la necesidad de mejorar el 
saneamiento ganadero
, tras la crisis provocada por la tuberculosis bovina, aunque han diferido en la forma de hacerlo, de ahí que una moción presentada sobre esta materia por el grupo Socialista no haya salido adelante con los votos en contra de PP y Vox.


Concretamente, el Grupo Socialista ha presentado en el Parlamento autonómico una moción de 19 puntos, entre los que se encontraba instar a la Junta a cumplir los requisitos para el control y la erradicación de las enfermedades que están recogidos en el Programa Nacional de Erradicación de la Tuberculosis Bovina (PNETB), después de la polémica suscitada en la Comunidad tras el intento de la Junta de relajar estas medidas de forma unilateral.",lagacetadesalamanca.es,99436.0,news,ES,es,"AGENCIAS,La Gaceta de Salamanca",https://s2.ppllstatics.com/lagacetadesalamanca/www/multimedia/2023/06/28/mercado-ganados-salamanca-U45137286523SAc-1920x1080@Gaceta%20Salamanca.jpg,False,La Gaceta de Salamanca,30.390635,17c895522303a33a97ebde89957389bb
Emergencia cinegética en 144 municipios de Salamanca por la abundancia de jabalíes,Susana Magdaleno,2023-06-27 07:05:33,full,https://www.lagacetadesalamanca.es/campo/emergencia-cinegetica-144-municipios-desalamanca-abundancia-jabalies-20230627090533-nt.html,lagacetadesalamanca.es,"La Junta prevé declarar la emergencia cinegética en 253 municipios, de ellos 144 de Salamanca, el 56% | Incluye a Vitigudino, Béjar, La Fuente, Ciudad Rodrigo y Tamames, pero esta última con…","La Junta de Castilla y León ultima la redacción de la orden que declara la 
emergencia cinegética
 por riesgo de 
tuberculosis bovina 
en 253 municipios, de los que 144 son de -el 56% del total- y pertenecen a 
cinco unidades veterinarias
: 
Béjar
, La Fuente de San Esteban, Ciudad Rodrigo, Vitigudino y Tamames. Las cuatro primeras tienen en común que han sido declaradas por el Ministerio de Agricultura, Pesca y Alimentación de «especial riesgo de 
tuberculosis bovina
», mientras que la última es de «riesgo moderado».",lagacetadesalamanca.es,99436.0,news,ES,es,"La Gaceta de Salamanca,Susana Magdaleno",https://s2.ppllstatics.com/lagacetadesalamanca/www/multimedia/2023/06/27/jabali-cruzando-carretera-crias-kBAG--1920x1080@Gaceta%20Salamanca.jpg,False,La Gaceta de Salamanca,30.360273,f1ce4632cad551fefe0de7e509a542c2
Sintonía de PP y PSOE en las Cortes por la tuberculosis frente a Vox,LNC,2023-06-27 20:23:54,timezone unknown,https://www.lanuevacronica.com/sintonia-entre-pp-y-psoe-en-las-cortes-por-la-tuberculosis-bovina-frente-a-la-postura-de-vox,lanuevacronica.com,Los populares aseguran en el Pleno que,"Sintonía entre PP y PSOE en las Cortes por la tuberculosis bovina frente a la postura de Vox 
 El procurador popular Óscar Reguera acercó hoy posiciones sobre la 
tuberculosis bovina
 con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: 
'Con la sanidad animal no se juega a la política'
, dijo el procurador del PP, veterinario de profesión.
En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad 'de la mano de la ciencia y la ley', ya que aseguró que 
los dirigentes de Vox son 'peligrosos' 
con las 'interpretaciones' de los reglamentos europeos.",lanuevacronica.com,154626.0,news,ES,es,LNC,http://www.lanuevacronica.com/imagenes/articulos/_08max202305608992-1.jpg,False,@LNCleon,29.78379,df9302c85c59fac500289cd24f566fc2
#37 Amnistía Internacional exige que no se recorten los derechos de las personas Lgtbi tras el 23-J,,2023-06-26 13:25:13,full,https://www.meneame.net/story/amnistia-internacional-exige-no-recorten-derechos-personas-lgtbi/c037#c-37,meneame.net,"Por ello, exigió a los partidos que concurrirán al 23-J que 'se comprometan sin ambigüedades a consolidar' durante la próxima...","#35
 pero qué tiene que ver la normativa con tuberculosis bovina con recortar derechos a personas LGTBI
» autor: 
BlUeSoNja",meneame.net,9033.0,news,ES,es,,https://cdn.mnmstatic.net/cache/21/35/media_thumb-link-2176366.jpeg?1417881055,False,,28.864138,9e1053a5b2fd5667047943a9963c6481
PP y PSOE marcan distancias con Vox sobre la tuberculosis,El Día De Valladolid,2023-06-27 19:00:00,timezone unknown,https://www.eldiadevalladolid.com/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,eldiadevalladolid.com,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",eldiadevalladolid.com,187124.0,news,ES,es,"El Día De Valladolid,SPC",https://www.eldiadevalladolid.com/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@DiadeValladolid,28.024248,c52e03820371d32d59d102df3cbd3561
PP y PSOE marcan distancias con Vox sobre la tuberculosis,Diario De Burgos,2023-06-27 20:45:00,timezone unknown,https://www.diariodeburgos.es/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,diariodeburgos.es,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",diariodeburgos.es,76913.0,news,ES,es,"Diario De Burgos,SPC",https://www.diariodeburgos.es/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@diariodeburgos,27.993612,4d463985b09265ada1341af9e3952845
Asturias redujo la tasa de tuberculosis bovina y amplía los controles a la fauna silvestre,La Voz,2023-06-28 07:03:00,full,https://www.lavozdeasturias.es/noticia/asturias/2023/06/28/asturias-redujo-tasa-tuberculosis-bovina-amplia-controles-fauna-silvestre/00031687935327541878792.htm,lavozdeasturias.es,Las campañas de saneamiento ganadero logran también que la comunidad sea zona oficialmente indemne de diversas enfermedades contagiosas,"Vacas en Asturias, en una imagen de archivo 
j.l.cereijido | EFE
 
 
28 jun 2023
 . Actualizado a las 09:03 h.
 
El Gobierno de 
Asturias
 actuó en la pasada campaña de saneamiento ganadero sobre 14.042 explotaciones -13.653 de bovino, 166 de ovino-caprino y 223 de porcino- y en el caso de la 
tuberculosis
 bovina siguió reduciendo reduciendo la prevalencia de esta enfermedad por rebaño.
 
De esta forma, en 2022 se situó en el 0,06%, mientras en España la media se sigue manteniendo en el 0,8%, y la campaña incluyó además, como complemento al saneamiento de animales domésticos, controles de tuberculosos a fauna silvestre en el marco de un programa pionero para mitigar el posible impacto negativo sobre la sanidad animal y la ganadería.",lavozdeasturias.es,54075.0,news,ES,es,"La Voz,N.D.",https://www.lavozdeasturias.es/default/2022/11/29/00121669711083338985167/Foto/efe_20221128_175606853.jpg,False,lavozdeasturias,27.816639,221b08c69ec93babf9a9e7697e5d4329
PP y PSOE marcan distancias con Vox sobre la tuberculosis,Diario Palentino,2023-06-27 16:19:55,full,https://www.diariopalentino.es/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,diariopalentino.es,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",diariopalentino.es,216938.0,news,ES,es,"Diario Palentino,SPC",https://www.diariopalentino.es/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@diariopalentino,27.776993,caa30c89bd5096e4a2b8676d1fb88b98
PP y PSOE marcan distancias con Vox sobre la tuberculosis,Diario De Ávila,2023-06-27 16:19:55,full,https://www.diariodeavila.es/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,diariodeavila.es,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",diariodeavila.es,231034.0,news,ES,es,"Diario De Ávila,SPC",https://www.diariodeavila.es/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@diario_de_avila,27.751242,af30f630476bf7f4b1d09ecf5bf62297
