"","code","focus_type","country","region","province","livestock_region","international_region","municipality","uvl","disease","n_affected_species","serotype","species","susceptible","affected","confirmation_date","outbreak_n","index","outbreak_id"
"1","2023/18","Primario","España","ARAGÓN","TERUEL","ALFAMBRA",NA,"Perales del Alfambra","Teruel","Scrapie, Scrapie or Scrapie Scrapie",1,"","Ovinos","984","1",2023-11-27,5,1,"2023/18_5"
"2","2023/22","Primario","España","ASTURIAS","ASTURIAS","LLANES",NA,"Llanes","Oviedo","Mycobacterium tuberculosis (Inf. by the complex)",1,"","Bovinos","21","0",2023-11-29,5,2,"2023/22_5"
"3","2023/123","Primario","España","CASTILLA LA MANCHA","TOLEDO","TORRIJOS",NA,"Mata, La","Toledo","Bluetongue",1,"04","Bovinos","2834","0",2023-12-21,2,3,"2023/123_2"
"4","2023/122","Primario","España","CASTILLA LA MANCHA","TOLEDO","MORA",NA,"Yébenes, Los","Toledo","Bluetongue",1,"04","Bovinos","108","0",2023-12-21,2,4,"2023/122_2"
"5","2023/121","Primario","España","CASTILLA LA MANCHA","TOLEDO","TORRIJOS",NA,"Almorox","Toledo","Bluetongue",2,"04","Caprinos, Ovinos","10 / 215","0",2023-12-05,2,5,"2023/121_2"
"6","2023/21","Primario","España","GALICIA","A CORUÑA","AS PONTES",NA,"Pontes de García Rodríguez, As","Coruña","Mycobacterium tuberculosis (Inf. by the complex)",1,"","Bovinos","5","0",2023-12-13,5,6,"2023/21_5"
"7","2023/20","Primario","España","GALICIA","A CORUÑA","NOIA",NA,"Porto do Son","Coruña","Mycobacterium tuberculosis (Inf. by the complex)",1,"","Bovinos","144","1",2023-11-27,5,7,"2023/20_5"
"8","2023/120","Primario","España","CASTILLA Y LEÓN","ÁVILA","CANDELEDA",NA,"Candeleda","Ávila","Bluetongue",1,"04","Caprinos","156","0",2023-12-12,2,8,"2023/120_2"
"9","2023/119","Primario","España","CASTILLA Y LEÓN","SALAMANCA","FUENTE DE SAN ESTEBAN LA",NA,"Aldehuela de Yeltes","Salamanca","Bluetongue",1,"04","Caprinos","24","0",2023-12-12,2,9,"2023/119_2"
"10","2023/118","Primario","España","ANDALUCÍA","SEVILLA","SANLUCAR LA MAYOR (PONIENTE DE SEVILLA)",NA,"Aznalcázar","Sevilla","Bluetongue",1,"04","Bovinos","322","0",2023-12-29,2,10,"2023/118_2"
"11","2023/58","Primario","España","GALICIA","LUGO","A MARIÑA OCCIDENTAL",NA,"Xove","Lugo","Highly Pathogenic Avian Influenza in Wild Birds",1,"H5N1","Aves silvestres","1","1",2023-12-26,3,11,"2023/58_3"
"12","2023/57","Primario","España","GALICIA","PONTEVEDRA","PONTEVEDRA-O MORRAZO",NA,"Bueu","Pontevedra","Highly Pathogenic Avian Influenza in Wild Birds",1,"H5N1","Aves silvestres","1","1",2023-12-26,4,12,"2023/57_4"
"13","2023/117","Primario","España","MURCIA","MURCIA","BAJO GUADALENTIN (ALHAMA)",NA,"Librilla","Lorca","Bluetongue",1,"04","Ovinos","424","0",2023-12-11,2,13,"2023/117_2"
"14","2023/116","Primario","España","EXTREMADURA","BADAJOZ","BADAJOZ",NA,"Badajoz","Badajoz","Bluetongue",1,"04","Bovinos","460","0",2023-12-21,2,14,"2023/116_2"
"15","2023/57","Primario","España","EXTREMADURA","BADAJOZ","DON BENITO",NA,"Navalvillar de Pela","Badajoz","West Nile Fever (West Nile)",1,"","Equidos","24","2",2023-12-22,3,15,"2023/57_3"
"16","2023/115","Primario","España","CANTABRIA","CANTABRIA","SAN VICENTE DE LA BARQUERA",NA,"Val de San Vicente","Santander","Bluetongue",1,"04","Bovinos","42","2",2023-12-21,2,16,"2023/115_2"
"17","2023/114","Primario","España","CANTABRIA","CANTABRIA","SAN VICENTE DE LA BARQUERA",NA,"Val de San Vicente","Santander","Bluetongue",1,"04","Bovinos","71","1",2023-12-21,2,17,"2023/114_2"
"18","2023/113","Primario","España","CANTABRIA","CANTABRIA","CABEZÓN DE LA SAL",NA,"Cabezón de la Sal","Santander","Bluetongue",1,"04","Bovinos","60","1",2023-12-11,2,18,"2023/113_2"
"19","2023/112","Primario","España","CANTABRIA","CANTABRIA","CABEZÓN DE LA SAL",NA,"Valdáliga","Santander","Bluetongue",1,"04","Bovinos","91","2",2023-12-11,2,19,"2023/112_2"
"20","2023/111","Primario","España","CANTABRIA","CANTABRIA","SAN VICENTE DE LA BARQUERA",NA,"Herrerías","Santander","Bluetongue",1,"04","Bovinos","11","1",2023-12-11,2,20,"2023/111_2"
"21","2023/56","Primario","España","CASTILLA Y LEÓN","ÁVILA","SAN PEDRO DEL ARROYO",NA,"Oso, El","Ávila","Highly Pathogenic Avian Influenza in Wild Birds",1,"H5N1","Aves silvestres","1","1",2023-12-22,4,21,"2023/56_4"
"22","2023/110","Primario","España","CANTABRIA","CANTABRIA","SAN VICENTE DE LA BARQUERA",NA,"Val de San Vicente","Santander","Bluetongue",1,"04","Bovinos","79","1",2023-12-11,2,22,"2023/110_2"
"23","2023/109","Primario","España","MURCIA","MURCIA","ALTO GUADALENTIN (LORCA)",NA,"Lorca","Lorca","Bluetongue",1,"04","Ovinos","523","0",2023-12-15,1,23,"2023/109_1"
"24","2023/108","Primario","España","MURCIA","MURCIA","BAJO GUADALENTIN (ALHAMA)",NA,"Totana","Lorca","Bluetongue",1,"04","Ovinos","1135","0",2023-12-15,2,24,"2023/108_2"
"25","2023/107","Primario","España","MURCIA","MURCIA","ALTO GUADALENTIN (LORCA)",NA,"Puerto Lumbreras","Lorca","Bluetongue",1,"04","Ovinos","820","0",2023-12-14,2,25,"2023/107_2"
"26","2023/106","Primario","España","MURCIA","MURCIA","ALTO GUADALENTIN (LORCA)",NA,"Águilas","Lorca","Bluetongue",1,"04","Ovinos","39","0",2023-12-12,2,26,"2023/106_2"
"27","2023/105","Primario","España","MURCIA","MURCIA","ALTO GUADALENTIN (LORCA)",NA,"Águilas","Lorca","Bluetongue",1,"04","Ovinos","242","0",2023-12-12,2,27,"2023/105_2"
"28","2023/104","Primario","España","MURCIA","MURCIA","BAJO GUADALENTIN (ALHAMA)",NA,"Totana","Lorca","Bluetongue",1,"04","Ovinos","26","0",2023-12-15,1,28,"2023/104_1"
"29","2023/103","Primario","España","MURCIA","MURCIA","BAJO GUADALENTIN (ALHAMA)",NA,"Librilla","Lorca","Bluetongue",1,"04","Ovinos","56","0",2023-12-11,1,29,"2023/103_1"
"30","2023/102","Primario","España","ANDALUCÍA","ALMERÍA","COSTA LEVANTE/BAJO ALMANZORA",NA,"Pulpí","Almería","Bluetongue",1,"04","Ovinos","1071","39",2023-12-21,2,30,"2023/102_2"
"31","2023/55","Primario","España","GALICIA","PONTEVEDRA","VIGO-O BAIXO MIÑO",NA,"Vigo","Pontevedra","Highly Pathogenic Avian Influenza in Wild Birds",1,"H5N1","Aves silvestres","1","1",2023-12-18,4,31,"2023/55_4"
"32","2023/54","Primario","España","ARAGÓN","ZARAGOZA","DAROCA",NA,"Gallocanta","Zaragoza","Highly Pathogenic Avian Influenza in Wild Birds",1,"H5N1","Aves silvestres","2","2",2023-12-18,4,32,"2023/54_4"
"33","2023/53","Primario","España","CANTABRIA","CANTABRIA","CABEZÓN DE LA SAL",NA,"Valdáliga","Santander","Highly Pathogenic Avian Influenza in Wild Birds",1,"H5N1","Aves silvestres","1","1",2023-12-19,4,33,"2023/53_4"
