Código;Tipo de foco;Pais;CCAA;Provincia;Comarca Ganadera (en focos nacionales);Región (en focos extranjeros);Municipio;UVL;Enfermedad;Nº de Especies Afectadas;Serotipo;Especie;Sensibles;Afectados;Fecha de confirmación
2023/6   ;Primario;España;CATALUÑA;BARCELONA;BAIX LLOBREGAT (SANT BOI);;Cornellà de Llobregat;Barcelona;Fiebre del Nilo Occidental (West Nile);1;;Aves silvestres;1;1;10/08/2023
2023/5   ;Primario;España;ANDALUCÍA;SEVILLA;CAZALLA DE LA SIERRA (SIERRA NORTE);;Pedroso, El;Sevilla;Fiebre del Nilo Occidental (West Nile);1;;Equidos;2;1;11/08/2023
2023/4   ;Primario;España;ANDALUCÍA;SEVILLA;CANTILLANA (VEGA DE SEVILLA);;Villaverde del Río;Sevilla;Fiebre del Nilo Occidental (West Nile);1;;Equidos;3;1;08/08/2023
2023/3   ;Primario;España;VALENCIA;VALENCIA;CAMP DE MORVEDRE;;Gilet;Valencia;Fiebre del Nilo Occidental (West Nile);1;;Equidos;3;1;08/08/2023
2023/44  ;Primario;España;CATALUÑA;GIRONA;ALT EMPORDA (FIGUERES);;Castelló d'Empúries;Girona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;28/07/2023
2023/43  ;Primario;España;CATALUÑA;TARRAGONA;MONTSIA (AMPOSTA);;Sant Carles de la Ràpita;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;6;6;28/07/2023
2023/42  ;Primario;España;CATALUÑA;GIRONA;BAIX EMPORDA (LA BISBAL);;Begur;Girona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;28/07/2023
2023/43  ;Primario;España;EXTREMADURA;BADAJOZ;AZUAGA;;Peraleda del Zaucejo;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;2030;10;03/08/2023
2023/42  ;Primario;España;EXTREMADURA;BADAJOZ;MERIDA;;Mérida;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;163;1;03/08/2023
2023/41  ;Primario;España;CASTILLA Y LEÓN;SALAMANCA;LEDESMA;;Encina de San Silvestre;Salamanca;Enfermedad hemorrágica epizoótica;1;08;Bovinos;85;1;01/08/2023
2023/22  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;VALDEPEÑAS;;Torrenueva;Ciudad Real;Lengua azul;2;04;Caprinos, Ovinos;145 / 743;0 / 1;02/08/2023
2023/21  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;CALZADA DE CALATRAVA;;San Lorenzo de Calatrava;Ciudad Real;Lengua azul;1;04;Ovinos;5440;10;01/08/2023
2023/40  ;Primario;España;CASTILLA LA MANCHA;TOLEDO;MORA;;Yébenes, Los;Toledo;Enfermedad hemorrágica epizoótica;1;08;Cervidos;300;3;02/08/2023
