"","outbreak_id","species","affected"
"1","2023/1_11","horses","1"
"2","2023/16_2","cows","7"
"3","2023/15_3","cows","7"
"4","2023/14_4","cows","3"
"5","2023/13_4","cows","12"
"6","2023/12_4","cows","1"
"7","2023/11_4","cows","5"
"8","2023/10_4","cows","8"
"9","2023/9_4","cows","1"
"10","2023/8_4","cows","1"
"11","2023/6_6","cows","2"
"12","2023/7_5","sheep","1"
"13","2023/38_1","wild_birds","1"
"14","2023/37_1","wild_birds","1"
"15","2023/36_1","wild_birds","1"
"16","2023/35_1","wild_birds","1"
"17","2023/2_6","cows","6"
"18","2023/5_5","cows","8"
"19","2023/4_6","cows","9"
"20","2023/3_6","cows","1"
"21","2023/14_3","cows","1"
"22","2023/2_5","cows","4"
"23","2023/34_1","wild_birds","0"
"24","2023/33_1","wild_birds","3"
"25","2023/32_1","wild_birds","1"
"26","2023/31_1","wild_birds","2"
"27","2023/6_5","sheep","1"
"28","2023/1_10","pigs","0"
"29","2023/1_9","deer","3"
"30","2023/29_1","wild_birds","1"
"31","2023/1_8","cows","8"
"32","2023/30_1","wild_birds","1"
"33","2023/13_3","cows","1"
"34","2023/12_3","cows","1"
"35","2023/28_1","wild_birds","1"
"36","2023/27_1","wild_birds","542"
"37","2023/11_3","cows","1"
"38","2023/5_4","sheep","1"
"39","2023/26_1","wild_birds","1"
"40","2023/7_4","goats","0"
"41","2023/7_4","sheep","21"
"42","2023/20_2","cows","0"
"43","2023/4_5","goats","1"
"44","2023/3_5","sheep","1"
"45","2023/10_3","cows","1"
"46","2023/9_3","cows","1"
"47","2023/1_7","sheep","1"
"48","2023/25_1","wild_birds","4"
"49","2023/24_1","wild_birds","3"
"50","2023/6_4","goats","0"
"51","2023/6_4","sheep","1"
"52","2023/23_1","wild_birds","26"
"53","2023/8_3","cows","0"
"54","2023/7_3","cows","1"
"55","2023/6_3","cows","1"
"56","2023/22_1","wild_birds","1"
"57","2023/21_1","wild_birds","1"
"58","2023/5_3","cows","3"
"59","2023/5_2","sheep","5"
"60","2023/4_4","sheep","4"
"61","2023/20_1","wild_birds","1"
"62","2023/19_2","wild_birds","1"
"63","2023/18_1","wild_birds","5"
"64","2023/17_1","wild_birds","1"
"65","2023/4_3","cows","1"
"66","2023/3_4","cows","0"
"67","2023/16_1","wild_birds","4"
"68","2023/15_2","wild_birds","1"
"69","2023/19_1","goats","0"
"70","2023/14_2","wild_birds","1"
"71","2023/13_2","wild_birds","1"
"72","2023/15_1","goats","0"
"73","2023/14_1","goats","0"
"74","2023/13_1","wild_animals","0"
"75","2023/12_2","wild_birds","2"
"76","2023/11_2","cows","0"
"77","2023/10_2","cows","0"
"78","2023/12_1","cows","0"
"79","2023/9_2","cows","0"
"80","2023/8_2","goats","0"
"81","2023/7_2","cows","0"
"82","2023/11_1","wild_birds","3"
"83","2023/10_1","wild_birds","3"
"84","2023/2_4","cows","1"
"85","2023/9_1","wild_birds","1"
"86","2023/1_6","poultry","6000"
"87","2023/3_3","sheep","480"
"88","2023/1_5","cows","1"
"89","2023/8_1","wild_birds","1"
"90","2023/7_1","wild_birds","1"
"91","2023/6_2","wild_birds","3"
"92","2023/2_3","sheep","1"
"93","2023/1_4","goats","0"
"94","2023/1_4","sheep","50"
"95","2022/27_4","sheep","1"
"96","2023/6_1","goats","3"
"97","2023/5_1","goats","2"
"98","2023/4_2","cows","2"
"99","2023/1_3","cows","3"
"100","2022/75_2","goats","0"
"101","2022/74_2","cows","0"
"102","2022/73_2","goats","0"
"103","2022/72_2","sheep","0"
"104","2023/4_1","wild_birds","1"
"105","2023/3_2","wild_birds","1"
"106","2023/2_2","wild_birds","1"
"107","2023/1_2","wild_birds","3"
"108","2023/3_1","goats","0"
"109","2023/2_1","goats","0"
"110","2023/1_1","goats","0"
"111","2022/9_8","cows","3"
"112","2022/8_8","cows","0"
"113","2022/71_2","goats","1"
"114","2022/70_2","goats","4"
"115","2022/69_2","sheep","2"
"116","2022/151_1","wild_birds","1"
"117","2022/150_1","wild_birds","3"
"118","2022/149_1","wild_birds","1"
"119","2022/148_1","wild_birds","1"
"120","2022/147_1","wild_birds","1"
"121","2022/26_4","sheep","1"
"122","2022/25_4","sheep","1"
"123","2022/68_2","cows","0"
"124","2022/67_2","goats","2"
"125","2022/37_3","poultry","800"
"126","2022/146_1","wild_birds","1"
"127","2022/145_1","wild_birds","1"
"128","2022/65_2","wild_animals","1"
"129","2022/144_1","wild_birds","1"
"130","2022/11_7","cows","4"
"131","2022/64_2","goats","0"
"132","2022/63_2","cows","0"
"133","2022/62_2","goats","0"
"134","2022/24_4","goats","0"
"135","2022/24_4","sheep","1"
"136","2022/61_2","goats","0"
"137","2022/60_2","cows","0"
"138","2022/143_1","wild_birds","3"
"139","2022/59_2","cows","0"
"140","2022/141_1","wild_birds","1"
"141","2022/17_6","horses","1"
"142","2022/16_6","horses","1"
"143","2022/23_5","sheep","1"
"144","2022/10_7","cows","1"
"145","2022/9_7","cows","1"
"146","2022/58_2","cows","0"
"147","2022/53_2","goats","0"
"148","2022/57_2","cows","0"
"149","2022/56_2","cows","0"
"150","2022/55_1","sheep","0"
"151","2022/54_2","goats","0"
"152","2022/8_7","cows","1"
"153","2022/7_8","cows","1"
"154","2022/6_8","cows","1"
"155","2022/5_8","cows","1"
"156","2022/4_9","cows","1"
"157","2022/3_12","cows","3"
"158","2022/52_2","cows","0"
"159","2022/23_4","sheep","30"
"160","2022/22_5","sheep","15"
"161","2022/22_4","goats","0"
"162","2022/22_4","sheep","1"
"163","2022/140_1","wild_birds","2"
"164","2022/21_5","sheep","1"
"165","2022/139_1","wild_birds","1"
"166","2022/138_1","wild_birds","2"
"167","2022/137_1","wild_birds","1"
"168","2022/2_12","cows","6"
"169","2022/1_13","cows","6"
"170","2022/51_2","cows","0"
"171","2022/4_8","cows","3"
"172","2022/20_5","sheep","1"
"173","2022/50_2","sheep","3"
"174","2022/49_2","sheep","2"
"175","2022/48_2","sheep","2"
"176","2022/47_2","sheep","69"
"177","2022/46_2","cows","0"
"178","2022/45_2","cows","4"
"179","2022/44_1","goats","3"
"180","2022/43_1","cows","1"
"181","2022/135_1","wild_birds","1"
"182","2022/134_1","wild_birds","3"
"183","2022/39_2","cows","0"
"184","2022/42_2","cows","0"
"185","2022/41_2","cows","0"
"186","2022/40_2","cows","0"
"187","2022/38_2","cows","0"
"188","2022/133_1","wild_birds","2"
"189","2022/15_6","wild_birds","1"
"190","2022/7_7","cows","1"
"191","2022/19_5","goats","1"
"192","2022/37_2","cows","0"
"193","2022/3_11","cows","1"
"194","2022/14_6","wild_birds","1"
"195","2022/132_1","wild_birds","1"
"196","2022/131_1","wild_birds","1"
"197","2022/130_1","wild_birds","1"
"198","2022/129_1","wild_birds","1"
"199","2022/36_3","sheep","31"
"200","2022/21_4","goats","0"
"201","2022/21_4","sheep","1"
"202","2022/20_4","goats","0"
"203","2022/20_4","sheep","20"
"204","2022/35_3","sheep","0"
"205","2022/34_3","cows","0"
"206","2022/34_3","sheep","2"
"207","2022/33_3","sheep","4"
"208","2022/32_3","sheep","11"
"209","2022/18_5","sheep","1"
"210","2022/31_3","sheep","27"
"211","2022/17_5","sheep","1"
"212","2022/128_1","wild_birds","1"
"213","2022/13_6","wild_birds","1"
"214","2022/12_6","wild_birds","1"
"215","2022/11_6","wild_birds","1"
"216","2022/30_3","cows","10"
"217","2022/29_3","goats","7"
"218","2022/28_3","cows","0"
"219","2022/19_4","goats","0"
"220","2022/19_4","sheep","30"
"221","2022/18_4","goats","0"
"222","2022/18_4","sheep","15"
"223","2022/27_3","goats","0"
"224","2022/26_3","cows","0"
"225","2022/25_3","sheep","15"
"226","2022/24_3","cows","10"
"227","2022/23_3","sheep","0"
"228","2022/22_3","sheep","6"
"229","2022/21_3","sheep","10"
"230","2022/127_1","wild_birds","1"
"231","2022/126_1","wild_birds","1"
"232","2022/125_1","wild_birds","1"
"233","2022/124_1","wild_birds","1"
"234","2022/123_1","wild_birds","1"
"235","2022/122_1","wild_birds","1"
"236","2022/121_1","wild_birds","1"
"237","2022/120_1","wild_birds","1"
"238","2022/119_1","wild_birds","1"
"239","2022/118_1","wild_birds","1"
"240","2022/117_1","wild_birds","1"
"241","2022/20_3","sheep","6"
"242","2022/19_3","sheep","12"
"243","2022/18_3","sheep","4"
"244","2022/3_10","pigs","0"
"245","2022/2_11","pigs","0"
"246","2022/116_1","wild_birds","1"
"247","2022/115_1","wild_birds","1"
"248","2022/114_1","wild_birds","1"
"249","2022/113_1","wild_birds","1"
"250","2022/112_1","wild_birds","1"
"251","2022/17_4","sheep","1"
"252","2022/111_1","wild_birds","2"
"253","2022/17_3","cows","8"
"254","2022/16_5","goats","3"
"255","2022/15_5","goats","1"
"256","2022/14_5","cows","5"
"257","2022/13_5","cows","1"
"258","2022/104_1","wild_birds","2"
"259","2022/105_1","wild_birds","2"
"260","2022/110_1","wild_birds","1"
"261","2022/107_1","wild_birds","1"
"262","2022/106_1","wild_birds","1"
"263","2022/10_6","horses","2"
"264","2022/9_6","horses","1"
"265","2022/12_5","sheep","5"
"266","2022/1_12","sheep","0"
"267","2022/16_4","sheep","10"
"268","2022/15_4","sheep","2"
"269","2022/103_1","wild_birds","1"
"270","2022/102_1","wild_birds","1"
"271","2022/101_1","wild_birds","3"
"272","2022/14_4","sheep","4"
"273","2022/13_4","goats","0"
"274","2022/13_4","sheep","50"
"275","2022/100_1","wild_birds","1"
"276","2022/99_1","wild_birds","1"
"277","2022/98_1","wild_birds","1"
"278","2022/97_1","wild_birds","2"
"279","2022/96_1","wild_birds","2"
"280","2022/95_1","wild_birds","1"
"281","2022/94_1","wild_birds","4"
"282","2022/12_4","goats","0"
"283","2022/12_4","sheep","7"
"284","2022/11_5","goats","0"
"285","2022/11_5","sheep","1"
"286","2022/10_5","goats","0"
"287","2022/10_5","sheep","3"
"288","2022/86_1","wild_birds","1"
"289","2022/91_1","wild_birds","1"
"290","2022/93_1","wild_birds","2"
"291","2022/92_1","wild_birds","1"
"292","2022/90_1","wild_birds","1"
"293","2022/89_1","wild_birds","1"
"294","2022/87_1","wild_birds","0"
"295","2022/88_1","wild_birds","1"
"296","2022/9_5","sheep","15"
"297","2022/8_6","sheep","15"
"298","2022/7_6","sheep","8"
"299","2022/6_7","sheep","1"
"300","2022/5_7","goats","0"
"301","2022/5_7","sheep","2"
"302","2022/8_5","wild_birds","1"
"303","2022/83_1","wild_birds","1"
"304","2022/85_1","wild_birds","1"
"305","2022/84_1","wild_birds","2"
"306","2022/82_1","wild_birds","1"
"307","2022/81_1","wild_birds","1"
"308","2022/4_7","sheep","182"
"309","2022/78_1","wild_birds","1"
"310","2022/3_9","sheep","1"
"311","2022/2_10","goats","0"
"312","2022/2_10","sheep","1"
"313","2022/7_5","horses","1"
"314","2022/6_6","horses","1"
"315","2022/36_2","poultry","460"
"316","2022/80_1","wild_birds","2"
"317","2022/79_1","wild_birds","1"
"318","2022/1_11","goats","0"
"319","2022/1_11","sheep","50"
"320","2022/76_1","wild_birds","1"
"321","2022/11_4","cows","6"
"322","2022/77_1","wild_birds","2"
"323","2022/5_6","wild_birds","1"
"324","2022/4_6","wild_birds","1"
"325","2022/75_1","wild_birds","1"
"326","2022/74_1","wild_birds","2"
"327","2022/73_1","wild_birds","1"
"328","2022/35_2","poultry","103000"
"329","2022/3_8","horses","0"
"330","2022/72_1","wild_birds","1"
"331","2022/71_1","wild_birds","1"
"332","2022/70_1","wild_birds","1"
"333","2022/69_1","wild_birds","1"
"334","2022/68_1","wild_birds","1"
"335","2022/67_1","wild_birds","1"
"336","2022/6_5","cows","1"
"337","2022/66_1","wild_birds","1"
"338","2022/65_1","wild_birds","2"
"339","2022/34_2","poultry","5150"
"340","2022/2_9","horses","1"
"341","2022/1_10","wild_birds","1"
"342","2022/64_1","wild_birds","5"
"343","2022/63_1","wild_birds","1"
"344","2022/62_1","wild_birds","1"
"345","2022/61_1","wild_birds","1"
"346","2022/33_2","poultry","21354"
"347","2022/60_1","wild_birds","1"
"348","2022/59_1","wild_birds","6"
"349","2022/58_1","wild_birds","1"
"350","2022/57_1","wild_birds","1"
"351","2022/32_2","poultry","15215"
"352","2022/16_3","goats","0"
"353","2022/16_3","sheep","1"
"354","2022/56_1","wild_birds","6"
"355","2022/15_3","goats","1"
"356","2022/5_5","cows","0"
"357","2022/4_5","cows","0"
"358","2022/3_7","poultry","26900"
"359","2022/2_8","poultry","9980"
"360","2022/3_6","wild_birds","4"
"361","2022/1_9","poultry","9500"
"362","2022/2_7","sheep","3"
"363","2022/14_3","sheep","1"
"364","2022/54_1","wild_birds","1"
"365","2022/1_8","sheep","3"
"366","2022/53_1","wild_birds","1"
"367","2022/52_1","wild_birds","1"
"368","2022/51_1","wild_birds","1"
"369","2022/13_3","sheep","1"
"370","2022/3_5","cows","0"
"371","2022/12_3","sheep","1"
"372","2022/50_1","wild_birds","2"
"373","2022/49_1","wild_birds","2"
"374","2022/48_1","wild_birds","1"
"375","2022/2_6","cows","0"
"376","2022/1_7","cows","0"
"377","2022/47_1","wild_birds","1"
"378","2022/46_1","wild_birds","1"
"379","2022/45_1","wild_birds","1"
"380","2022/2_5","wild_birds","6"
"381","2022/1_6","wild_birds","1"
"382","2022/42_1","wild_birds","1"
"383","2022/41_1","wild_birds","1"
"384","2022/40_1","wild_birds","1"
"385","2022/39_1","wild_birds","1"
"386","2022/38_1","wild_birds","1"
"387","2022/11_3","sheep","1"
"388","2022/10_4","goats","0"
"389","2022/10_4","sheep","1"
"390","2022/9_4","sheep","1"
"391","2022/8_4","goats","1"
"392","2022/37_1","wild_birds","5"
"393","2022/7_4","sheep","1"
"394","2022/6_4","goats","0"
"395","2022/6_4","sheep","1"
"396","2022/1_5","pigs","0"
"397","2022/36_1","wild_birds","2"
"398","2022/35_1","wild_birds","3"
"399","2022/34_1","wild_birds","1"
"400","2022/33_1","wild_birds","6"
"401","2022/32_1","wild_birds","1"
"402","2022/5_4","goats","1"
"403","2022/31_2","wild_birds","14"
"404","2022/31_1","poultry","17705"
"405","2022/30_2","wild_birds","3"
"406","2022/30_1","poultry","56080"
"407","2022/29_2","wild_birds","1"
"408","2022/29_1","poultry","3175"
"409","2022/28_2","poultry","80747"
"410","2022/27_2","poultry","69933"
"411","2022/26_2","poultry","49871"
"412","2022/28_1","wild_birds","3"
"413","2022/4_4","sheep","2"
"414","2022/27_1","wild_birds","1"
"415","2022/26_1","wild_birds","1"
"416","2022/25_2","poultry","10000"
"417","2022/24_2","poultry","22981"
"418","2022/25_1","wild_birds","3"
"419","2022/23_2","wild_birds","1"
"420","2022/22_2","wild_birds","1"
"421","2022/24_1","wild_birds","1"
"422","2022/23_1","poultry","22600"
"423","2022/22_1","poultry","26880"
"424","2022/21_2","poultry","93500"
"425","2022/20_2","poultry","6000"
"426","2022/19_2","poultry","5500"
"427","2022/21_1","wild_birds","1"
"428","2022/20_1","wild_birds","2"
"429","2022/9_3","cows","0"
"430","2022/8_3","goats","0"
"431","2022/10_3","cows","0"
"432","2022/7_3","cows","0"
"433","2022/6_3","cows","0"
"434","2022/19_1","wild_birds","2"
"435","2022/18_2","wild_birds","1"
"436","2022/18_1","poultry","20446"
"437","2022/17_2","poultry","6256"
"438","2022/16_2","poultry","21000"
"439","2022/15_2","poultry","16950"
"440","2022/14_2","poultry","30400"
"441","2022/13_2","poultry","180000"
