outbreak_id;code;focus_type;country;region;province;livestock_region;municipality;uvl;disease;no_of_affected_species;serotype;species;confirmation_date
2023/5_5;2023/5   ;Primario;España;ANDALUCÍA;CÓRDOBA;MONTORO (ALTO GUADALQUIVIR);Adamuz;Córdoba;Enfermedad hemorrágica epizoótica;1;Pendiente;Bovinos;06/07/2023
2023/4_6;2023/4   ;Primario;España;ANDALUCÍA;CÓRDOBA;VILLANUEVA DE CÓRDOBA (PEDROCHES III);Cardeña;Córdoba;Enfermedad hemorrágica epizoótica;1;Pendiente;Bovinos;06/07/2023
2023/3_6;2023/3   ;Primario;España;ANDALUCÍA;SEVILLA;CAZALLA DE LA SIERRA (SIERRA NORTE);Pedroso, El;Sevilla;Enfermedad hemorrágica epizoótica;1;Pendiente;Bovinos;04/07/2023
2023/14_3;2023/14  ;Secundario;España;ASTURIAS;ASTURIAS;TINEO;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;03/07/2023
2023/2_5;2023/2   ;Primario;España;ANDALUCÍA;HUELVA;ARACENA (SIERRA ORIENTAL);Corteconcepción;Huelva;Enfermedad hemorrágica epizoótica;1;Pendiente;Bovinos;30/06/2023
2023/34_1;2023/34  ;Primario;España;VALENCIA;VALENCIA;LA SAFOR;Oliva;Valencia;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;30/06/2023
2023/33_1;2023/33  ;Primario;España;CATALUÑA;TARRAGONA;BAIX EBRE (TORTOSA);Deltebre;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;30/06/2023
2023/32_1;2023/32  ;Primario;España;CATALUÑA;TARRAGONA;BAIX PENEDES (VENDRELL);Calafell;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;30/06/2023
2023/31_1;2023/31  ;Primario;España;CATALUÑA;BARCELONA;BAIX LLOBREGAT (SANT BOI);Prat de Llobregat, El;Barcelona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;30/06/2023
2023/6_5;2023/6   ;Primario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;Orozko;Bilbao;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;08/02/2023
2023/1_10;2023/1   ;Primario;España;ANDALUCÍA;CÁDIZ;CAMPIÑA;Arcos de la Frontera;Cádiz;Enfermedad de Aujeszky;1;;Porcinos;30/06/2023
2023/1_9;2023/1   ;Primario;España;ANDALUCÍA;SEVILLA;CAZALLA DE LA SIERRA (SIERRA NORTE);Pedroso, El;Sevilla;Enfermedad hemorrágica epizoótica;1;No determinado;Cervidos;23/06/2023
2023/29_1;2023/29  ;Primario;España;VALENCIA;VALENCIA;CAMP DE MORVEDRE;Sagunto/Sagunt;Valencia;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;16/06/2023
2023/1_8;2023/1   ;Primario;España;ASTURIAS;ASTURIAS;CANGAS DE ONIS;Cangas de Onís;Oviedo;Carbunco bacteridiano;1;;Bovinos;21/06/2023
2023/30_1;2023/30  ;Primario;España;CATALUÑA;GIRONA;ALT EMPORDA (FIGUERES);Castelló d'Empúries;Girona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;22/06/2023
2023/13_3;2023/13  ;Primario;España;CATALUÑA;LLEIDA;ALT URGELL (SEU D'URGELL);Valls d'Aguilar, Les;Lleida;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;15/06/2023
2023/12_3;2023/12  ;Primario;España;CATALUÑA;LLEIDA;SOLSONES (SOLSONA);Navès;Barcelona;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;15/06/2023
2023/28_1;2023/28  ;Primario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;Mendexa;Bilbao;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;09/06/2023
2023/27_1;2023/27  ;Primario;España;VALENCIA;VALENCIA;RIBERA BAIXA;Sollana;Valencia;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;07/06/2023
2023/11_3;2023/11  ;Primario;España;ASTURIAS;ASTURIAS;TINEO;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;29/05/2023
2023/5_4;2023/5   ;Primario;España;CASTILLA Y LEÓN;SALAMANCA;CIUDAD RODRIGO;Zamarra;Ciudad Rodrigo;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;11/05/2023
2023/26_1;2023/26  ;Primario;España;GALICIA;A CORUÑA;A CORUÑA;Coruña, A;Coruña;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;18/05/2023
2023/7_4;2023/7   ;Primario;España;CASTILLA LA MANCHA;CUENCA;SAN CLEMENTE;Casas de Fernando Alonso;Cuenca;Viruela ovina y viruela caprina;2;;Caprinos, Ovinos;16/05/2023
2023/20_2;2023/20  ;Primario;España;CASTILLA LA MANCHA;TOLEDO;TORRIJOS;Nombela;Toledo;Lengua azul;1;4;Bovinos;04/05/2023
2023/4_5;2023/4   ;Primario;España;ANDALUCÍA;SEVILLA;OSUNA (CAMPIÑA/SIERRA SUR);Badolatosa;Sevilla;Scrapie, Tembladera o Prúrigo Lumbar;1;;Caprinos;26/04/2023
2023/3_5;2023/3   ;Primario;España;LA RIOJA;LA RIOJA;HARO;Cihuri;Logroño;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;27/04/2023
2023/10_3;2023/10  ;Primario;España;CATALUÑA;LLEIDA;ALT URGELL (SEU D'URGELL);Valls de Valira, Les;Lleida;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;27/04/2023
2023/9_3;2023/9   ;Primario;España;GALICIA;PONTEVEDRA;DEZA;Dozón;Pontevedra;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;20/04/2023
2023/1_7;2023/1   ;Primario;España;NAVARRA;NAVARRA;PAMPLONA;Ultzama;Pamplona;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;12/04/2023
2023/25_1;2023/25  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;MALAGÓN;Pozuelo de Calatrava;Ciudad Real;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;31/03/2023
2023/24_1;2023/24  ;Primario;España;ARAGÓN;ZARAGOZA;ZARAGOZA;Zaragoza;Zaragoza;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;03/04/2023
2023/6_4;2023/6   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;TOMELLOSO;Alcázar de San Juan;Ciudad Real;Viruela ovina y viruela caprina;2;;Caprinos, Ovinos;05/04/2023
2023/23_1;2023/23  ;Primario;España;CATALUÑA;LLEIDA;SEGRIA (LLEIDA);Lleida;Lleida;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;04/04/2023
2023/8_3;2023/8   ;Secundario;España;ASTURIAS;ASTURIAS;TINEO;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;30/03/2023
2023/7_3;2023/7   ;Secundario;España;ASTURIAS;ASTURIAS;TINEO;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;30/03/2023
2023/6_3;2023/6   ;Primario;España;ASTURIAS;ASTURIAS;LLANES;Peñamellera Baja;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;30/03/2023
2023/22_1;2023/22  ;Primario;España;CASTILLA Y LEÓN;VALLADOLID;MEDINA DEL CAMPO;Castronuño;Valladolid;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;30/03/2023
2023/21_1;2023/21  ;Primario;España;CASTILLA Y LEÓN;LEÓN;CARRIZO;Santa Marina del Rey;León;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;30/03/2023
2023/5_3;2023/5   ;Primario;España;GALICIA;LUGO;TERRA CHA VILALBA;Vilalba;Lugo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;09/02/2023
2023/5_2;2023/5   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;TOMELLOSO;Alcázar de San Juan;Ciudad Real;Viruela ovina y viruela caprina;1;;Ovinos;29/03/2023
2023/4_4;2023/4   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;TOMELLOSO;Alcázar de San Juan;Ciudad Real;Viruela ovina y viruela caprina;1;;Ovinos;21/03/2023
2023/20_1;2023/20  ;Primario;España;CATALUÑA;LLEIDA;PLA D'URGELL (MOLLERUSSA);Linyola;Lleida;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;16/03/2023
2023/19_2;2023/19  ;Primario;España;CATALUÑA;LLEIDA;PLA D'URGELL (MOLLERUSSA);Vila-sana;Lleida;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;16/03/2023
2023/18_1;2023/18  ;Primario;España;ARAGÓN;ZARAGOZA;ZARAGOZA;Zaragoza;Zaragoza;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;01/03/2023
2023/17_1;2023/17  ;Primario;España;PAÍS VASCO;ÁLAVA;ARABA-ALAVA;Vitoria-Gasteiz;Vitoria;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;10/03/2023
2023/4_3;2023/4   ;Primario;España;ASTURIAS;ASTURIAS;GRADO;Proaza;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;10/03/2023
2023/3_4;2023/3   ;Primario;España;ASTURIAS;ASTURIAS;TINEO;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;10/03/2023
2023/16_1;2023/16  ;Primario;España;CATALUÑA;LLEIDA;NOGUERA (BALAGUER);Penelles;Lleida;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;07/03/2023
